Location,Area,Bedrooms,Bathrooms,Floors,Property_Age,Parking,Kitchen,Balcony,Furnishing,Property_Type,Construction_Quality,Price
Bengaluru,2197,4,4,3,2,Yes,Yes,3,Semi Furnished,Plot,Low,19592000.0
Bengaluru,3962,5,1,2,29,No,Yes,2,Semi Furnished,Plot,Low,29198000.0
Srikakulam,4563,4,2,1,15,Yes,Yes,2,Unfurnished,Independent House,High,27765000.0
Visakhapatnam,2024,1,3,4,5,Yes,Yes,1,Fully Furnished,Apartment,Medium,19716000.0
Nellore,532,1,3,1,14,Yes,Yes,3,Semi Furnished,Plot,Medium,2903000.0
Anantapur,4525,1,2,4,14,No,Yes,3,Fully Furnished,Villa,Low,33040000.0
Kakinada,3066,4,3,4,28,Yes,Yes,1,Unfurnished,Plot,High,15663000.0
Anantapur,3303,2,1,4,15,No,Yes,3,Semi Furnished,Plot,Medium,12787000.0
Delhi,4396,5,3,4,19,No,Yes,3,Fully Furnished,Plot,Low,40792000.0
Tirupati,4209,4,2,1,12,No,Yes,0,Fully Furnished,Plot,Low,23167000.0
Chennai,1219,2,3,3,11,Yes,No,0,Unfurnished,Apartment,Low,10543000.0
Delhi,1472,2,1,4,9,Yes,Yes,0,Semi Furnished,Plot,High,17031000.0
Kakinada,4218,4,1,2,13,Yes,Yes,3,Fully Furnished,Independent House,High,39789000.0
Vijayawada,4902,4,2,4,30,Yes,No,3,Fully Furnished,Plot,Low,26189000.0
Bengaluru,2707,2,2,1,1,Yes,Yes,2,Fully Furnished,Villa,Low,43218000.0
Anantapur,4926,2,2,4,28,No,Yes,0,Fully Furnished,Villa,High,45898000.0
Srikakulam,4820,2,4,2,2,No,Yes,1,Fully Furnished,Plot,Low,19956000.0
Rajahmundry,3530,4,4,1,8,Yes,Yes,3,Fully Furnished,Plot,Low,17995000.0
Bengaluru,4075,2,1,4,10,Yes,Yes,0,Fully Furnished,Independent House,High,66872000.0
Visakhapatnam,3616,1,4,2,10,No,Yes,2,Fully Furnished,Independent House,Low,33406000.0
Chennai,3785,4,4,1,24,Yes,No,0,Fully Furnished,Apartment,Low,37924000.0
Pune,1143,1,3,4,21,Yes,Yes,2,Fully Furnished,Apartment,Low,12111000.0
Tirupati,694,3,4,2,9,Yes,Yes,2,Semi Furnished,Villa,High,10345000.0
Delhi,4496,4,3,1,25,No,Yes,3,Unfurnished,Plot,High,42595000.0
Rajahmundry,988,3,2,4,13,Yes,Yes,2,Unfurnished,Plot,High,6122000.0
Tirupati,2704,2,3,1,8,No,Yes,2,Unfurnished,Independent House,Medium,20172000.0
Vijayawada,3157,2,3,2,19,Yes,Yes,1,Fully Furnished,Independent House,Medium,29191000.0
Kurnool,3776,5,2,4,26,Yes,Yes,2,Unfurnished,Apartment,Medium,19662000.0
Ongole,1602,2,2,4,20,Yes,Yes,1,Fully Furnished,Apartment,Medium,10898000.0
Tirupati,1741,3,1,4,9,Yes,No,1,Semi Furnished,Villa,High,21794000.0
Delhi,1015,2,1,2,21,Yes,Yes,0,Unfurnished,Independent House,Low,10561000.0
Srikakulam,892,4,1,3,28,Yes,Yes,0,Semi Furnished,Plot,High,3706000.0
Vijayawada,1130,2,1,4,30,No,Yes,3,Semi Furnished,Independent House,Medium,8576000.0
Ongole,4216,5,3,2,8,Yes,Yes,3,Fully Furnished,Independent House,High,36998000.0
Tirupati,2347,2,3,1,28,No,Yes,3,Unfurnished,Independent House,Low,14028000.0
Chennai,3155,3,1,1,4,No,Yes,2,Semi Furnished,Apartment,Medium,31715000.0
Mumbai,1479,3,4,2,7,No,Yes,0,Unfurnished,Plot,Low,14052000.0
Bengaluru,3902,2,1,3,10,No,Yes,2,Semi Furnished,Plot,Low,29074000.0
Rajahmundry,4371,3,4,2,0,Yes,Yes,0,Semi Furnished,Apartment,Low,26467000.0
Chennai,777,3,2,1,20,Yes,Yes,2,Fully Furnished,Apartment,Medium,8545000.0
Rajahmundry,732,5,3,1,9,No,Yes,3,Unfurnished,Plot,High,5727000.0
Mumbai,2052,4,3,4,0,No,Yes,0,Fully Furnished,Villa,Medium,49634000.0
Hyderabad,3770,5,4,3,25,No,Yes,0,Fully Furnished,Independent House,Medium,46959000.0
Delhi,2909,1,1,2,29,Yes,Yes,1,Fully Furnished,Plot,High,32557000.0
Bengaluru,4012,5,3,1,21,Yes,Yes,0,Fully Furnished,Apartment,High,61347000.0
Hyderabad,525,2,4,1,6,Yes,Yes,0,Fully Furnished,Plot,High,6796000.0
Kakinada,960,4,2,1,27,No,Yes,2,Semi Furnished,Independent House,High,7818000.0
Bengaluru,4264,2,2,2,13,Yes,Yes,3,Unfurnished,Plot,Low,29248000.0
Hyderabad,3931,1,3,2,4,Yes,Yes,1,Unfurnished,Apartment,Medium,37295000.0
Guntur,3983,4,1,3,16,Yes,Yes,2,Fully Furnished,Villa,Medium,40615000.0
Anantapur,2494,3,4,4,21,Yes,Yes,0,Unfurnished,Apartment,Medium,12786000.0
Kakinada,990,5,3,4,25,Yes,Yes,2,Semi Furnished,Villa,High,11818000.0
Guntur,1572,2,2,4,20,No,Yes,3,Fully Furnished,Independent House,Medium,12755000.0
Srikakulam,3673,1,1,1,5,No,Yes,1,Semi Furnished,Apartment,Low,16451000.0
Rajahmundry,715,3,4,4,15,Yes,Yes,2,Semi Furnished,Plot,Medium,4743000.0
Kadapa,2223,5,3,1,10,Yes,Yes,0,Fully Furnished,Apartment,Medium,14956000.0
Pune,2092,3,4,3,9,No,Yes,2,Semi Furnished,Apartment,Low,21859000.0
Rajahmundry,3106,5,1,1,14,Yes,Yes,0,Fully Furnished,Independent House,Low,21227000.0
Visakhapatnam,658,4,1,3,6,No,Yes,1,Semi Furnished,Villa,Medium,8940000.0
Visakhapatnam,3813,3,2,3,22,Yes,Yes,1,Unfurnished,Villa,High,44300000.0
Guntur,3341,3,1,4,1,Yes,Yes,2,Unfurnished,Plot,High,18555000.0
Nellore,2276,3,3,4,30,Yes,Yes,1,Unfurnished,Apartment,Medium,12958000.0
Ongole,2552,4,4,1,11,No,Yes,3,Fully Furnished,Independent House,Medium,19160000.0
Anantapur,2795,1,1,2,18,Yes,Yes,2,Semi Furnished,Villa,Medium,20220000.0
Kakinada,2196,5,1,4,11,Yes,Yes,0,Semi Furnished,Plot,Medium,12311000.0
Anantapur,3493,3,3,4,15,Yes,Yes,2,Unfurnished,Villa,High,28607000.0
Kakinada,2969,4,4,2,5,Yes,Yes,0,Unfurnished,Plot,Medium,15336000.0
Rajahmundry,2446,1,4,2,2,Yes,Yes,1,Fully Furnished,Villa,Low,22036000.0
Srikakulam,4309,5,2,4,1,Yes,Yes,0,Fully Furnished,Plot,High,23927000.0
Vijayawada,3283,4,2,2,19,Yes,Yes,0,Semi Furnished,Villa,High,40090000.0
Guntur,4144,5,4,1,4,Yes,Yes,0,Fully Furnished,Villa,Low,39539000.0
Mumbai,3000,3,3,3,10,Yes,Yes,0,Fully Furnished,Apartment,Medium,51711000.0
Nellore,4145,1,3,3,25,Yes,Yes,3,Fully Furnished,Plot,Medium,20770000.0
Visakhapatnam,3145,4,2,4,24,Yes,Yes,0,Unfurnished,Plot,Medium,17286000.0
Srikakulam,2849,1,1,4,2,Yes,Yes,2,Unfurnished,Apartment,Medium,14758000.0
Rajahmundry,2432,3,3,1,2,Yes,Yes,3,Semi Furnished,Apartment,Medium,16860000.0
Visakhapatnam,3794,1,1,2,21,Yes,Yes,0,Fully Furnished,Villa,Low,41206000.0
Guntur,2257,1,3,4,4,Yes,Yes,0,Unfurnished,Villa,Medium,19469000.0
Visakhapatnam,1616,2,4,3,21,Yes,Yes,0,Fully Furnished,Villa,Low,18343000.0
Nellore,3067,1,2,1,22,Yes,Yes,3,Semi Furnished,Apartment,Low,17679000.0
Bengaluru,3999,5,1,1,10,Yes,Yes,0,Fully Furnished,Villa,Low,64148000.0
Chennai,992,4,1,2,2,Yes,Yes,0,Semi Furnished,Apartment,Medium,11734000.0
Visakhapatnam,3806,2,4,4,30,No,Yes,0,Semi Furnished,Villa,Medium,41281000.0
Guntur,1119,4,3,4,12,No,Yes,1,Unfurnished,Apartment,High,9631000.0
Nellore,3732,4,1,1,20,Yes,Yes,2,Fully Furnished,Plot,High,22298000.0
Chennai,4323,3,3,3,7,Yes,Yes,0,Unfurnished,Independent House,Low,38596000.0
Anantapur,2880,3,4,4,19,No,Yes,2,Fully Furnished,Villa,High,28523000.0
Kakinada,2046,2,2,3,9,No,Yes,1,Fully Furnished,Villa,Low,18555000.0
Bengaluru,4063,3,1,1,1,Yes,Yes,1,Semi Furnished,Apartment,High,56380000.0
Bengaluru,2105,3,3,4,3,Yes,Yes,0,Semi Furnished,Plot,Medium,19729000.0
Ongole,4252,3,1,3,17,Yes,Yes,2,Fully Furnished,Plot,Medium,19179000.0
Hyderabad,2390,4,3,1,18,Yes,Yes,3,Unfurnished,Villa,Low,26956000.0
Anantapur,1775,2,3,3,3,Yes,Yes,0,Semi Furnished,Apartment,Low,10108000.0
Pune,3243,4,3,4,19,Yes,Yes,3,Semi Furnished,Apartment,Medium,35395000.0
Tirupati,2993,5,4,2,25,No,Yes,1,Fully Furnished,Independent House,Medium,26556000.0
Nellore,856,4,2,3,8,Yes,Yes,1,Fully Furnished,Plot,Medium,7061000.0
Anantapur,1369,5,1,2,15,Yes,Yes,2,Semi Furnished,Independent House,High,11052000.0
Hyderabad,1385,1,2,4,25,Yes,Yes,3,Unfurnished,Plot,High,11085000.0
Bengaluru,2501,1,3,2,5,Yes,Yes,3,Semi Furnished,Villa,High,47174000.0
Kadapa,1783,5,3,1,24,Yes,Yes,0,Fully Furnished,Villa,High,16798000.0
Tirupati,1119,5,2,2,3,Yes,Yes,2,Semi Furnished,Apartment,Low,9563000.0
Hyderabad,1382,4,2,3,8,Yes,Yes,2,Fully Furnished,Apartment,Low,15946000.0
Anantapur,1296,5,1,3,26,Yes,Yes,3,Semi Furnished,Apartment,High,8402000.0
Vijayawada,4142,2,3,2,12,No,No,1,Fully Furnished,Plot,Low,23559000.0
Ongole,3925,1,2,1,8,Yes,Yes,2,Fully Furnished,Apartment,High,30416000.0
Hyderabad,1796,1,4,4,5,Yes,Yes,1,Unfurnished,Villa,High,27844000.0
Kurnool,744,5,3,2,20,Yes,Yes,0,Fully Furnished,Independent House,Medium,6744000.0
Srikakulam,3395,3,3,3,18,Yes,Yes,2,Semi Furnished,Villa,High,29184000.0
Srikakulam,1429,3,1,3,13,Yes,Yes,2,Fully Furnished,Villa,Low,10804000.0
Kadapa,1019,5,4,2,30,Yes,Yes,0,Semi Furnished,Villa,High,8603000.0
Anantapur,3712,2,1,2,20,Yes,Yes,2,Unfurnished,Independent House,Medium,18755000.0
Guntur,2909,3,4,2,14,Yes,Yes,3,Semi Furnished,Villa,Low,25056000.0
Guntur,507,5,1,4,2,No,No,3,Unfurnished,Plot,Medium,4828000.0
Hyderabad,3025,2,4,3,4,Yes,Yes,0,Unfurnished,Plot,High,25042000.0
Kakinada,3923,2,4,3,20,Yes,Yes,1,Fully Furnished,Independent House,High,36626000.0
Visakhapatnam,2519,4,4,3,17,Yes,Yes,1,Unfurnished,Plot,High,16953000.0
Anantapur,4782,2,2,4,13,No,No,2,Semi Furnished,Apartment,High,30166000.0
Kurnool,4167,3,3,1,15,Yes,Yes,1,Unfurnished,Plot,Low,13744000.0
Rajahmundry,4171,3,4,3,13,Yes,Yes,1,Unfurnished,Villa,High,36944000.0
Kakinada,3301,5,2,3,8,No,Yes,0,Fully Furnished,Plot,Medium,19352000.0
Nellore,585,5,2,1,14,Yes,Yes,1,Semi Furnished,Apartment,Low,4740000.0
Guntur,3615,2,1,4,6,Yes,Yes,1,Unfurnished,Apartment,Low,20361000.0
Ongole,4732,1,3,1,13,Yes,Yes,1,Fully Furnished,Apartment,Low,27849000.0
Srikakulam,2968,4,3,1,5,No,Yes,3,Fully Furnished,Villa,Medium,24619000.0
Bengaluru,4119,1,1,1,20,No,Yes,3,Semi Furnished,Apartment,Medium,46006000.0
Kakinada,2136,2,3,1,14,No,Yes,0,Fully Furnished,Villa,Medium,20849000.0
Pune,4083,2,1,4,19,No,Yes,2,Unfurnished,Apartment,Medium,37911000.0
Pune,4509,1,2,4,7,No,Yes,0,Fully Furnished,Villa,High,84296000.0
Srikakulam,3826,4,2,1,1,Yes,Yes,2,Semi Furnished,Villa,High,33338000.0
Anantapur,2718,1,4,2,7,No,Yes,2,Semi Furnished,Villa,Medium,20731000.0
Vijayawada,2717,5,1,2,0,Yes,Yes,1,Fully Furnished,Plot,Medium,19219000.0
Visakhapatnam,2869,3,2,2,25,Yes,No,1,Unfurnished,Apartment,High,24476000.0
Pune,4138,5,2,2,16,Yes,Yes,0,Fully Furnished,Villa,High,78722000.0
Nellore,3003,3,1,3,18,Yes,Yes,0,Semi Furnished,Apartment,Medium,18572000.0
Pune,1443,2,2,4,4,No,Yes,0,Fully Furnished,Plot,Low,12126000.0
Pune,3337,4,3,4,29,Yes,Yes,3,Fully Furnished,Independent House,Low,38589000.0
Pune,3160,1,2,1,21,Yes,Yes,3,Unfurnished,Apartment,Medium,29524000.0
Vijayawada,3436,4,1,3,19,Yes,Yes,3,Fully Furnished,Apartment,Low,26417000.0
Vijayawada,4944,1,3,1,15,No,Yes,3,Unfurnished,Plot,High,28492000.0
Nellore,4447,5,3,1,6,Yes,Yes,3,Fully Furnished,Villa,Low,40378000.0
Guntur,2176,5,2,4,6,Yes,Yes,1,Fully Furnished,Apartment,Medium,17920000.0
Guntur,1696,1,4,3,17,Yes,Yes,2,Unfurnished,Independent House,Low,10343000.0
Vijayawada,4605,4,3,2,17,Yes,Yes,3,Unfurnished,Plot,Low,21065000.0
Srikakulam,3287,1,1,4,1,Yes,Yes,0,Semi Furnished,Villa,Low,21304000.0
Kurnool,1961,2,4,3,14,Yes,Yes,2,Unfurnished,Apartment,High,12886000.0
Tirupati,3818,5,4,3,13,No,Yes,3,Fully Furnished,Apartment,High,38342000.0
Kadapa,1166,2,3,4,30,Yes,Yes,3,Semi Furnished,Plot,High,4632000.0
Pune,2676,5,2,4,17,Yes,Yes,1,Unfurnished,Villa,Medium,35891000.0
Kurnool,4243,5,4,1,28,Yes,Yes,1,Unfurnished,Villa,Low,26318000.0
Nellore,1100,3,2,1,8,Yes,Yes,1,Semi Furnished,Plot,High,7363000.0
Vijayawada,3152,2,3,1,13,Yes,Yes,3,Fully Furnished,Apartment,High,32714000.0
Kurnool,4922,2,1,2,4,Yes,Yes,1,Fully Furnished,Apartment,Low,28455000.0
Kadapa,4324,3,4,4,10,Yes,Yes,3,Semi Furnished,Villa,Medium,32850000.0
Mumbai,4406,4,1,3,7,No,Yes,2,Fully Furnished,Villa,Low,91461000.0
Mumbai,1479,2,2,4,4,Yes,Yes,2,Unfurnished,Independent House,Medium,22876000.0
Guntur,2951,1,2,3,28,Yes,Yes,3,Fully Furnished,Independent House,Low,20644000.0
Kakinada,1128,3,1,2,10,Yes,Yes,0,Unfurnished,Independent House,High,9267000.0
Kurnool,2129,2,3,4,4,Yes,Yes,3,Fully Furnished,Villa,High,23020000.0
Mumbai,4196,4,3,3,16,Yes,Yes,2,Unfurnished,Villa,High,90989000.0
Visakhapatnam,3930,2,4,3,21,Yes,Yes,2,Semi Furnished,Villa,Medium,43381000.0
Tirupati,4174,5,4,1,3,No,Yes,3,Unfurnished,Apartment,Low,27136000.0
Visakhapatnam,4429,1,3,2,14,Yes,Yes,3,Fully Furnished,Plot,Medium,29281000.0
Anantapur,3265,3,3,4,18,Yes,Yes,3,Unfurnished,Villa,High,26481000.0
Kakinada,4869,5,1,1,21,No,Yes,2,Fully Furnished,Apartment,Medium,35135000.0
Guntur,615,4,2,2,1,Yes,Yes,0,Fully Furnished,Villa,Medium,7898000.0
Rajahmundry,2503,5,2,1,23,No,Yes,3,Unfurnished,Plot,Medium,10167000.0
Anantapur,1192,5,4,4,16,Yes,Yes,2,Fully Furnished,Villa,Low,10614000.0
Delhi,3662,4,3,3,11,Yes,Yes,3,Semi Furnished,Apartment,Medium,46967000.0
Rajahmundry,1605,5,1,4,24,Yes,Yes,2,Fully Furnished,Villa,Medium,14607000.0
Guntur,3508,3,4,2,23,No,Yes,3,Semi Furnished,Villa,Medium,31438000.0
Kadapa,2661,2,1,4,16,No,Yes,2,Semi Furnished,Villa,High,21999000.0
Delhi,653,5,3,2,9,Yes,Yes,3,Fully Furnished,Independent House,High,14748000.0
Ongole,4199,3,3,1,27,Yes,Yes,1,Semi Furnished,Villa,Low,29470000.0
Visakhapatnam,4910,2,3,2,30,Yes,Yes,3,Semi Furnished,Apartment,High,47286000.0
Anantapur,4286,2,2,3,24,Yes,Yes,2,Unfurnished,Apartment,Low,18704000.0
Mumbai,1564,5,3,3,17,Yes,Yes,3,Semi Furnished,Apartment,High,29366000.0
Mumbai,4700,3,4,3,18,Yes,Yes,0,Semi Furnished,Villa,Low,86625000.0
Pune,2413,5,2,1,17,Yes,Yes,3,Semi Furnished,Plot,Low,17646000.0
Vijayawada,1716,4,1,2,12,Yes,Yes,3,Semi Furnished,Apartment,Low,13124000.0
Guntur,2901,2,4,1,13,Yes,Yes,3,Semi Furnished,Independent House,High,25643000.0
Mumbai,2272,5,4,4,23,No,Yes,0,Fully Furnished,Plot,Medium,28860000.0
Srikakulam,2460,2,1,4,15,No,Yes,0,Semi Furnished,Apartment,High,14900000.0
Nellore,3280,3,2,4,17,Yes,Yes,0,Fully Furnished,Villa,Medium,31497000.0
Nellore,3371,1,4,4,25,No,Yes,1,Fully Furnished,Independent House,High,29568000.0
Kakinada,1160,5,4,3,17,Yes,Yes,0,Fully Furnished,Apartment,Medium,10593000.0
Kakinada,3135,5,4,2,15,No,No,1,Unfurnished,Independent House,High,24473000.0
Visakhapatnam,2829,2,2,3,30,Yes,Yes,3,Unfurnished,Plot,Low,12825000.0
Mumbai,4454,3,2,2,16,Yes,Yes,1,Fully Furnished,Apartment,Low,67742000.0
Mumbai,2950,4,2,2,6,No,Yes,3,Unfurnished,Villa,Low,50274000.0
Visakhapatnam,1632,3,4,1,11,Yes,Yes,1,Semi Furnished,Independent House,Medium,16174000.0
Guntur,1199,5,3,4,1,No,Yes,0,Fully Furnished,Apartment,Medium,11824000.0
Kadapa,2538,4,1,2,9,No,Yes,0,Fully Furnished,Plot,Low,10738000.0
Pune,5000,3,3,4,4,No,Yes,1,Fully Furnished,Plot,Medium,44428000.0
Rajahmundry,2679,1,2,4,20,Yes,Yes,1,Unfurnished,Apartment,Low,12679000.0
Tirupati,3338,2,4,4,2,Yes,No,0,Unfurnished,Plot,High,19975000.0
Kurnool,1373,3,4,3,18,Yes,Yes,3,Unfurnished,Independent House,Medium,8926000.0
Rajahmundry,583,3,3,4,12,No,Yes,3,Semi Furnished,Independent House,Medium,5351000.0
Visakhapatnam,1922,1,3,2,11,Yes,Yes,3,Unfurnished,Independent House,High,18853000.0
Mumbai,3175,5,1,3,2,Yes,Yes,3,Fully Furnished,Independent House,Medium,59783000.0
Visakhapatnam,3680,2,4,4,5,Yes,Yes,2,Unfurnished,Plot,Medium,21725000.0
Delhi,4816,3,3,1,13,Yes,Yes,3,Unfurnished,Apartment,Medium,55558000.0
Chennai,4475,4,1,4,3,Yes,Yes,2,Unfurnished,Plot,High,35306000.0
Delhi,1891,3,2,4,12,Yes,Yes,2,Unfurnished,Plot,Low,15065000.0
Vijayawada,3718,2,3,3,18,No,Yes,0,Fully Furnished,Apartment,Low,28331000.0
Visakhapatnam,4707,3,2,2,17,Yes,No,0,Unfurnished,Apartment,High,40970000.0
Mumbai,1114,1,1,4,28,No,Yes,1,Fully Furnished,Villa,High,28531000.0
Kakinada,3471,3,2,3,2,Yes,Yes,3,Unfurnished,Independent House,High,27583000.0
Tirupati,4065,3,4,3,19,Yes,Yes,3,Semi Furnished,Apartment,Low,27562000.0
Guntur,4076,4,4,2,5,Yes,Yes,0,Semi Furnished,Plot,High,24960000.0
Tirupati,770,1,2,3,15,Yes,Yes,0,Fully Furnished,Independent House,Low,6015000.0
Guntur,4566,1,4,2,19,Yes,Yes,0,Fully Furnished,Independent House,High,42565000.0
Chennai,2968,3,1,1,23,No,Yes,1,Semi Furnished,Plot,Medium,20554000.0
Mumbai,1890,4,4,4,2,Yes,Yes,3,Semi Furnished,Apartment,Low,28235000.0
Rajahmundry,3854,3,2,3,11,Yes,Yes,1,Unfurnished,Independent House,Low,21774000.0
Anantapur,4635,3,2,1,18,Yes,Yes,2,Semi Furnished,Independent House,High,31829000.0
Visakhapatnam,4107,2,2,3,18,No,Yes,2,Fully Furnished,Independent House,Medium,40820000.0
Pune,3083,2,3,3,23,Yes,Yes,3,Fully Furnished,Independent House,Low,35061000.0
Guntur,4573,4,2,1,3,Yes,Yes,0,Semi Furnished,Independent House,High,40231000.0
Mumbai,3575,5,1,3,0,Yes,Yes,0,Fully Furnished,Plot,Medium,45792000.0
Srikakulam,4406,2,4,3,1,No,Yes,1,Unfurnished,Apartment,Low,19939000.0
Chennai,789,5,4,1,12,Yes,Yes,2,Unfurnished,Apartment,High,10356000.0
Kurnool,2980,1,3,3,29,Yes,Yes,2,Semi Furnished,Independent House,Medium,17599000.0
Kurnool,3752,2,3,2,25,Yes,Yes,3,Fully Furnished,Independent House,Low,22675000.0
Hyderabad,778,2,1,3,28,No,Yes,2,Semi Furnished,Independent House,Low,6549000.0
Rajahmundry,3424,4,2,4,12,Yes,Yes,0,Fully Furnished,Plot,Medium,18561000.0
Vijayawada,1080,5,3,3,29,No,Yes,0,Fully Furnished,Plot,High,8331000.0
Guntur,753,2,4,4,1,Yes,Yes,0,Fully Furnished,Villa,High,10878000.0
Bengaluru,4776,2,3,4,29,Yes,Yes,3,Unfurnished,Independent House,Medium,52704000.0
Guntur,1324,4,3,3,18,Yes,Yes,1,Fully Furnished,Villa,Low,12434000.0
Nellore,4332,4,2,1,21,No,Yes,2,Unfurnished,Villa,Medium,33237000.0
Mumbai,1199,5,3,2,23,Yes,Yes,3,Fully Furnished,Villa,Medium,28424000.0
Tirupati,1880,1,1,2,15,No,Yes,1,Semi Furnished,Apartment,Medium,13367000.0
Visakhapatnam,4396,1,4,3,11,Yes,Yes,3,Unfurnished,Villa,Low,39751000.0
Pune,2173,3,2,1,0,No,No,2,Unfurnished,Independent House,Medium,23738000.0
Pune,3227,2,4,1,8,Yes,Yes,0,Unfurnished,Plot,Medium,23256000.0
Srikakulam,3656,5,1,2,16,Yes,Yes,1,Semi Furnished,Independent House,Low,18526000.0
Chennai,3888,2,1,1,9,Yes,Yes,1,Unfurnished,Plot,Low,23048000.0
Kurnool,4807,5,3,3,17,Yes,Yes,3,Semi Furnished,Apartment,Medium,28425000.0
Visakhapatnam,883,5,3,3,18,Yes,Yes,3,Fully Furnished,Apartment,High,10758000.0
Kakinada,841,5,3,1,6,Yes,Yes,0,Fully Furnished,Independent House,Medium,8730000.0
Nellore,2487,2,4,3,24,Yes,No,3,Semi Furnished,Apartment,Low,14431000.0
Pune,4559,4,1,4,18,Yes,Yes,2,Unfurnished,Plot,Low,28392000.0
Chennai,3609,2,2,2,23,Yes,Yes,2,Unfurnished,Apartment,Low,28406000.0
Visakhapatnam,4582,5,3,3,14,Yes,Yes,2,Semi Furnished,Villa,High,61304000.0
Guntur,3298,3,4,1,8,Yes,Yes,2,Fully Furnished,Villa,Low,30474000.0
Guntur,3740,1,3,2,9,Yes,Yes,0,Semi Furnished,Apartment,High,29784000.0
Visakhapatnam,2488,5,1,3,22,Yes,Yes,0,Unfurnished,Independent House,Low,18697000.0
Delhi,3914,3,2,2,19,Yes,Yes,0,Unfurnished,Villa,Low,53690000.0
Ongole,2349,4,1,1,19,No,Yes,3,Unfurnished,Plot,Medium,9170000.0
Visakhapatnam,805,5,4,4,3,No,Yes,0,Unfurnished,Independent House,High,10731000.0
Rajahmundry,4113,3,3,4,5,Yes,No,1,Fully Furnished,Apartment,Medium,29162000.0
Chennai,3249,5,1,3,3,Yes,Yes,1,Fully Furnished,Independent House,High,47839000.0
Delhi,1635,2,4,4,4,Yes,Yes,1,Fully Furnished,Independent House,Low,24141000.0
Bengaluru,705,3,3,3,8,Yes,Yes,3,Unfurnished,Independent House,Low,9078000.0
Vijayawada,3950,2,2,2,11,Yes,Yes,3,Unfurnished,Independent House,High,34574000.0
Ongole,4311,2,1,3,22,Yes,Yes,0,Unfurnished,Apartment,Medium,22266000.0
Vijayawada,4122,3,3,3,7,Yes,Yes,2,Semi Furnished,Apartment,High,37860000.0
Pune,4099,1,3,3,20,Yes,Yes,1,Unfurnished,Villa,High,61323000.0
Rajahmundry,3051,3,3,4,4,Yes,Yes,3,Fully Furnished,Villa,High,34801000.0
Guntur,4808,1,3,3,28,Yes,Yes,1,Fully Furnished,Plot,Low,22813000.0
Kakinada,809,5,1,1,10,Yes,Yes,0,Fully Furnished,Plot,High,6717000.0
Kadapa,3208,5,3,3,22,Yes,Yes,3,Semi Furnished,Villa,Low,21788000.0
Mumbai,2491,3,4,2,10,Yes,Yes,2,Fully Furnished,Villa,Medium,57888000.0
Anantapur,771,5,1,1,12,No,Yes,2,Semi Furnished,Independent House,Low,5646000.0
Ongole,4142,4,3,2,13,No,Yes,3,Semi Furnished,Villa,Medium,32462000.0
Visakhapatnam,4586,2,1,2,27,Yes,Yes,2,Semi Furnished,Plot,Medium,26273000.0
Delhi,2322,2,4,2,7,Yes,Yes,0,Unfurnished,Villa,Medium,36681000.0
Hyderabad,3773,1,4,1,24,Yes,Yes,2,Unfurnished,Independent House,Low,33272000.0
Anantapur,4849,5,1,1,30,Yes,Yes,1,Fully Furnished,Plot,High,24756000.0
Tirupati,1020,1,3,4,29,Yes,Yes,1,Fully Furnished,Apartment,Low,6574000.0
